economy,economycode,wpid_random,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13_1a,fin13_1b,fin13_1c,fin13_1d,fin13_1e,fin13_1f,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig
Ghana,GHA,210167778,2.094678151,1,55,1,2,1,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,1,2,1,2,1,2,2,,,1,1,2,2,2,1,,,2,2,,,,,2,,,,,,1,1,3,1,2,3,,0,0,2,4,4,4,2,3,2,2,0,0
Ghana,GHA,145071534,1.393143457,1,18,2,5,1,2,1,0,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,1,1,1,1,2,,,2,1,1,3,2,,2,2,1,1,2,2,1,2,2,1,4,1,1,,,1,1,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,1,2,2,2,2,,1,1,2,4,4,4,4,1,1,1,1,1
Ghana,GHA,123939842,0.959757073,2,23,2,4,1,2,1,1,1,1,2,1,2,,1,1,2,,,,1,2,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,2,,2,1,2,,,,2,2,1,1,2,2,1,2,1,1,1,1,1,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,3,1,1,3,1,,1,1,4,4,4,4,2,1,1,1,1,1
Ghana,GHA,208110394,0.790859603,2,26,1,3,1,1,1,1,1,1,2,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,,,1,1,2,1,2,,,2,1,2,,,,2,2,1,2,2,2,2,,1,3,3,1,1,,,1,1,,,1,2,2,,,1,1,1,1,2,,,2,2,2,,,,,2,,,,,,1,1,2,1,2,1,,1,0,1,4,4,4,2,1,1,1,1,0
Ghana,GHA,169366943,0.306325514,2,28,3,5,1,2,1,1,1,1,2,1,2,,2,1,2,,,,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,2,,,2,1,2,,,,2,1,2,2,2,2,1,,1,2,2,1,1,,,1,1,,,1,2,2,,,1,1,2,1,2,,,2,2,2,,,,,2,,,,,,2,1,1,2,2,1,,1,1,1,4,4,4,2,1,1,1,1,0
Ghana,GHA,184982062,0.603022768,2,29,3,5,1,2,1,1,1,2,2,1,2,,1,1,2,,,,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,2,1,2,,,1,1,1,3,1,,2,1,1,2,2,2,1,,2,2,1,1,1,,,1,1,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,1,,1,1,4,4,4,4,2,1,1,1,1,1
Ghana,GHA,118864956,0.813161489,2,62,2,2,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,2,2,1,2,2,2,2,1,2,1,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,7,,,2,,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,1,3,1,2,1,,0,1,4,4,4,2,4,1,1,2,0,0
Ghana,GHA,129569219,0.560088747,1,32,1,5,1,1,1,0,1,,,2,,,,,,,,,,,,,,,1,1,2,2,2,2,2,1,,,,,,,2,1,2,2,2,,,2,1,2,,,,2,2,2,2,2,2,1,,6,1,1,2,,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,2,2,1,1,1,2,,0,1,4,4,4,2,4,1,1,2,1,0
Ghana,GHA,120951814,0.560713012,2,20,1,4,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,1,1,2,1,2,2,,,,,,,,,,,2,,,2,1,2,,,,2,2,2,2,2,2,2,,2,1,1,1,2,1,1,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,3,2,,0,0,4,4,4,4,4,1,1,2,0,0
Ghana,GHA,148099270,2.015964065,1,35,1,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,,2,,,2,2,2,,,,3,2,,2,2,2,2,,9,,,1,1,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,3,3,3,,2,,0,0,4,4,4,4,4,1,2,2,0,0
