resp_id,wave,adopts_mm,has_account,made_digital_payment,income_quintile,education,age,female,urban,owns_mobile,has_internet,employed,borrowed_formal,saved_formal
122111012,2021,1,1,1,3,2.0,22.0,1,1,1,1,1,0,0
182057809,2021,0,0,0,5,2.0,16.0,1,0,0,1,0,0,0
203915733,2021,1,1,1,2,2.0,22.0,0,0,1,1,1,0,0
169385086,2021,0,0,0,2,1.0,35.0,0,0,1,1,1,0,0
127018832,2021,1,1,1,3,2.0,24.0,1,0,1,1,1,0,1
205230519,2021,1,1,1,3,2.0,32.0,0,0,1,1,1,0,1
187957630,2021,1,1,1,5,1.0,27.0,1,0,1,1,1,0,0
180120873,2021,0,0,0,2,1.0,34.0,1,0,1,1,1,0,0
117610074,2021,0,1,1,1,1.0,40.0,1,0,1,1,1,0,0
160814886,2021,0,0,0,3,2.0,49.0,0,0,1,1,1,0,0
159495308,2021,1,1,1,4,2.0,30.0,0,0,1,1,0,0,0
116841286,2021,1,1,1,5,2.0,30.0,1,0,1,1,1,0,0
200683024,2021,1,1,1,4,1.0,20.0,1,1,1,1,1,0,0
168498878,2021,1,1,1,5,2.0,36.0,0,0,1,1,1,0,0
128772305,2021,1,1,1,5,2.0,32.0,0,1,1,1,1,0,0
115423551,2021,1,1,1,3,2.0,36.0,0,0,1,1,1,0,1
125825670,2021,0,0,0,3,2.0,31.0,1,1,1,1,1,0,0
182894316,2021,1,1,1,2,2.0,26.0,0,1,1,1,1,0,0
153833628,2021,0,1,1,5,3.0,30.0,0,1,1,1,1,0,1
136634639,2021,0,0,0,4,2.0,18.0,0,0,0,1,0,0,0
148078622,2021,1,1,1,5,3.0,25.0,1,0,1,1,1,0,1
111386768,2021,0,1,1,4,2.0,22.0,0,0,1,1,1,1,0
170607653,2021,1,1,1,2,2.0,50.0,1,1,1,1,1,0,0
174980843,2021,1,1,1,3,2.0,25.0,1,0,1,1,1,0,0
137044072,2021,0,0,0,1,2.0,42.0,0,0,1,1,1,0,0
161591939,2021,1,1,1,3,2.0,29.0,0,0,1,1,1,0,1
192011663,2021,1,1,1,5,2.0,23.0,0,0,1,1,1,0,0
183010705,2021,1,1,1,5,2.0,25.0,1,1,1,1,1,0,0
192339509,2021,0,0,0,1,2.0,17.0,1,1,0,1,0,0,0
197546946,2021,0,0,0,5,1.0,19.0,1,1,1,1,1,0,0
153972088,2021,0,0,0,1,1.0,18.0,0,1,1,1,1,0,0
181379609,2021,1,1,1,5,1.0,28.0,0,0,1,1,1,0,1
190636162,2021,1,1,1,3,2.0,30.0,0,1,1,1,1,0,0
172815040,2021,1,1,1,3,2.0,23.0,1,0,1,1,0,0,1
200523608,2021,1,1,1,3,2.0,28.0,0,1,1,1,1,0,0
133992246,2021,0,0,0,2,2.0,29.0,1,0,1,1,0,0,0
147532300,2021,1,1,1,2,1.0,29.0,1,1,1,1,1,0,0
179360278,2021,1,1,1,5,2.0,49.0,1,0,1,1,1,0,1
151965751,2021,1,1,1,2,2.0,45.0,0,0,1,1,1,0,0
189172876,2021,0,0,0,3,1.0,63.0,1,1,1,1,0,0,0
174988267,2021,1,1,1,5,2.0,66.0,1,0,1,1,1,0,1
195276908,2021,1,1,1,4,1.0,52.0,0,0,1,1,1,0,0
122178759,2021,1,1,1,2,1.0,25.0,1,0,1,1,1,0,0
126148746,2021,0,0,0,1,1.0,27.0,1,1,0,1,0,0,0
133571947,2021,0,0,0,5,2.0,26.0,0,0,1,1,0,0,0
192685443,2021,1,1,1,5,3.0,38.0,0,0,1,1,1,1,1
126869277,2021,0,0,0,5,2.0,30.0,0,0,1,1,1,0,0
154824080,2021,0,1,1,5,2.0,67.0,0,0,1,1,1,0,1
138711373,2021,1,1,1,5,3.0,29.0,0,0,1,1,1,0,1
139860851,2021,0,0,0,1,1.0,35.0,1,1,0,1,1,0,0
186250246,2021,0,0,0,1,1.0,75.0,1,0,1,1,0,0,0
203871003,2021,0,0,0,1,1.0,24.0,1,1,1,1,1,0,0
